"","FL1.H","FL3.H"
"3329820",844,655
"3329822",825,656
"3329823",847,763
"3329824",833,749
"3329825",850,678
"3329828",828,657
"3329829",773,599
"3329830",799,619
"3329832",823,757
"3329833",800,767
"3329834",804,610
"3329837",821,610
"3329838",687,548
"3329839",725,811
"3329840",699,567
"3329841",796,635
"3329845",782,649
"3329846",743,615
"3329848",829,639
"3329851",824,651
"3329855",691,785
"3329857",785,802
"3329858",819,638
"3329860",748,639
"3329861",820,624
"3329863",689,552
"3329865",789,818
"3329866",806,786
"3329867",725,604
"3329868",793,729
"3329869",823,694
"3329871",815,670
"3329872",743,784
"3329873",786,581
"3329874",785,797
"3329875",787,607
"3329878",806,622
"3329880",811,619
"3329883",748,634
"3329885",804,815
"3329886",807,778
"3329887",818,705
"3329888",827,703
"3329889",834,679
"3329890",838,766
"3329891",779,617
"3329893",827,656
"3329894",837,720
"3329895",819,771
"3329896",815,673
"3329897",838,715
"3329898",865,764
"3329900",843,653
"3329904",841,682
"3329906",872,778
"3329908",837,657
"3329909",809,585
"3329911",845,719
"3329913",815,615
"3329914",852,678
"3329915",780,793
"3329916",708,590
"3329918",791,633
"3329920",869,692
"3329921",824,651
"3329923",834,629
"3329925",857,664
"3329927",865,675
"3329928",860,691
"3329929",710,800
"3329930",821,736
"3329932",871,704
"3329934",833,656
"3329937",882,727
"3329938",829,653
"3329940",663,524
"3329941",824,652
"3329942",647,523
"3329943",810,630
"3329944",854,692
"3329946",872,727
"3329948",844,656
"3329949",806,611
"3329954",862,721
"3329956",809,825
"3329957",708,584
"3329960",724,577
"3329961",676,499
"3329962",803,779
"3329963",860,736
"3329966",825,656
"3329972",816,791
"3329973",814,646
"3329974",793,614
"3329975",698,592
"3329977",840,771
"3329978",828,639
"3329979",763,744
"3329983",798,668
"3329984",723,598
"3329986",832,739
"3329990",821,683
"3329991",851,762
"3329992",846,701
"3329993",810,613
"3329995",776,774
"3329996",794,754
"3329997",812,636
"3330000",803,809
"3330001",850,649
"3330003",679,673
"3330004",852,793
"3330005",835,778
"3330006",828,655
"3330009",863,754
"3330010",704,719
"3330012",803,639
"3330013",826,795
"3330016",797,715
"3330018",639,548
"3330020",818,642
"3330021",708,557
"3330022",833,645
"3330023",732,610
"3330024",777,823
